scenario,feature,accuracy_all,accuracy_branch_or_primary,intra_distance,inter_distance
length_-5pct,amplitude,0.66666666666666663,0.66666666666666663,0.0076870480842947892,0.0080983653911234875
length_-5pct,phase,0.16666666666666666,0.16666666666666666,0.53344710857489341,0.42819609174063689
length_-5pct,complex,0,0,0.031198580892740694,0.030401874526515757
length_-5pct,cir,0,0,0.020641678562659738,0.020114559820400977
length_-5pct,amp_phase_joint,0.16666666666666666,0.16666666666666666,0.37724384334296096,0.30285577502099714
length_-2pct,amplitude,0.83333333333333337,0.83333333333333337,0.0038363721281918979,0.0055772125238738521
length_-2pct,phase,0.33333333333333331,0.33333333333333331,0.21902233454112094,0.22411664145783239
length_-2pct,complex,0.66666666666666663,0.66666666666666663,0.016038556220390347,0.016876263326317646
length_-2pct,cir,0.83333333333333337,0.83333333333333337,0.010611467337204314,0.011165713085421363
length_-2pct,amp_phase_joint,0.33333333333333331,0.33333333333333331,0.15489606918850773,0.15856389060977683
length_+2pct,amplitude,0.83333333333333337,0.83333333333333337,0.0037705807318848066,0.0055913264461786407
length_+2pct,phase,0.33333333333333331,0.33333333333333331,0.21754504609485095,0.24591392403046783
length_+2pct,complex,0.83333333333333337,0.83333333333333337,0.015864826315679686,0.01692732817715005
length_+2pct,cir,0.83333333333333337,0.83333333333333337,0.010496523748517133,0.011199498732286407
length_+2pct,amp_phase_joint,0.33333333333333331,0.33333333333333331,0.15385085759735007,0.1739740906786201
length_+5pct,amplitude,0.5,0.5,0.0073972049198886324,0.0080033354149333259
length_+5pct,phase,0.16666666666666666,0.16666666666666666,0.53784394301804916,0.43890911843554181
length_+5pct,complex,0.16666666666666666,0.16666666666666666,0.030967551457227738,0.030183214283343234
length_+5pct,cir,0.16666666666666666,0.16666666666666666,0.020488824323463203,0.019969889315370071
length_+5pct,amp_phase_joint,0.16666666666666666,0.16666666666666666,0.380349896270263,0.3104340463946223
kG_-5pct,amplitude,0.83333333333333337,0.83333333333333337,0.00021987544625388507,0.0038077911859155425
kG_-5pct,phase,0.83333333333333337,0.83333333333333337,0.0020724622642560027,0.1184475755482655
kG_-5pct,complex,0.83333333333333337,0.83333333333333337,0.00024418664022584144,0.0061434461411200769
kG_-5pct,cir,0.83333333333333337,0.83333333333333337,0.00016155933996377583,0.0040646413036536369
kG_-5pct,amp_phase_joint,0.83333333333333337,0.83333333333333337,0.0014741722571148753,0.083842275942806577
kG_+5pct,amplitude,0.83333333333333337,0.83333333333333337,0.00021704687382025295,0.003785487511481125
kG_+5pct,phase,0.83333333333333337,0.83333333333333337,0.0020219178482222201,0.11713028496938667
kG_+5pct,complex,0.83333333333333337,0.83333333333333337,0.00024027006773445726,0.0061149714892705376
kG_+5pct,cir,0.83333333333333337,0.83333333333333337,0.00015896804804852992,0.0040458018374393721
kG_+5pct,amp_phase_joint,0.83333333333333337,0.83333333333333337,0.001438441375158702,0.082910469540325923
